representation,dataset_a,dataset_b,distance
untrained,3D-MR-MS,NSK-GBM,0.6918364245808937
untrained,3D-MR-MS,OASIS-1,0.660830429024854
untrained,3D-MR-MS,OASIS-2,0.6666662789910922
untrained,3D-MR-MS,UMF-PD,0.6975564423970789
untrained,3D-MR-MS,UPENN-GBM,0.6653293419307673
untrained,BGSP,3D-MR-MS,0.6901106525638666
untrained,BGSP,BGSP,0.0
untrained,BGSP,BraTS25-MEN,0.5141310071298881
untrained,BGSP,BraTS25-MET,0.48625004533890315
untrained,BGSP,BraTS25-SSA,0.5206886811120147
untrained,BGSP,BrainMetShare,0.572511353155735
untrained,BGSP,EPISURG,0.5642911540456437
untrained,BGSP,ISLES22,0.5265807544234331
untrained,BGSP,IXI,0.5563124008748053
untrained,BGSP,MS-60,0.6594168400852476
untrained,BGSP,MSLesSeg,0.5684413230647943
untrained,BGSP,NFBS,0.6202072860832223
untrained,BGSP,NSK-GBM,0.6444221426392669
untrained,BGSP,OASIS-1,0.5811831411678864
untrained,BGSP,OASIS-2,0.5807432578156632
untrained,BGSP,UMF-PD,0.6900764100529586
untrained,BGSP,UPENN-GBM,0.5699129660522282
untrained,BraTS25-MEN,3D-MR-MS,0.6020510231261433
untrained,BraTS25-MEN,BGSP,0.5141310071298881
untrained,BraTS25-MEN,BraTS25-MEN,0.0
untrained,BraTS25-MEN,BraTS25-MET,0.24456730719867104
untrained,BraTS25-MEN,BraTS25-SSA,0.30703347489322325
untrained,BraTS25-MEN,BrainMetShare,0.4569883656563822
untrained,BraTS25-MEN,EPISURG,0.45825161805219805
untrained,BraTS25-MEN,ISLES22,0.3705295211422304
untrained,BraTS25-MEN,IXI,0.4608840094922484
untrained,BraTS25-MEN,MS-60,0.5718981662743462
untrained,BraTS25-MEN,MSLesSeg,0.4555303945204152
untrained,BraTS25-MEN,NFBS,0.5518098130758528
untrained,BraTS25-MEN,NSK-GBM,0.5550303290948192
untrained,BraTS25-MEN,OASIS-1,0.4779766490079924
untrained,BraTS25-MEN,OASIS-2,0.47586351595362125
untrained,BraTS25-MEN,UMF-PD,0.6060181227064607
untrained,BraTS25-MEN,UPENN-GBM,0.46424102550094865
untrained,BraTS25-MET,3D-MR-MS,0.5614199839675066
untrained,BraTS25-MET,BGSP,0.48625004533890315
untrained,BraTS25-MET,BraTS25-MEN,0.24456730719867104
untrained,BraTS25-MET,BraTS25-MET,0.0
untrained,BraTS25-MET,BraTS25-SSA,0.27079578357178075
untrained,BraTS25-MET,BrainMetShare,0.4283826941491342
untrained,BraTS25-MET,EPISURG,0.43225097202070806
untrained,BraTS25-MET,ISLES22,0.29190492613031754
untrained,BraTS25-MET,IXI,0.4272385941343332
untrained,BraTS25-MET,MS-60,0.5397804395087422
untrained,BraTS25-MET,MSLesSeg,0.4235898025008335
untrained,BraTS25-MET,NFBS,0.4768398436072701
untrained,BraTS25-MET,NSK-GBM,0.5325772120692703
untrained,BraTS25-MET,OASIS-1,0.45155776702418143
untrained,BraTS25-MET,OASIS-2,0.449295837586474
untrained,BraTS25-MET,UMF-PD,0.565856125853553
untrained,BraTS25-MET,UPENN-GBM,0.4356373388037044
untrained,BraTS25-SSA,3D-MR-MS,0.6158632812732819
untrained,BraTS25-SSA,BGSP,0.5206886811120147
untrained,BraTS25-SSA,BraTS25-MEN,0.30703347489322325
untrained,BraTS25-SSA,BraTS25-MET,0.27079578357178075
untrained,BraTS25-SSA,BraTS25-SSA,0.0
untrained,BraTS25-SSA,BrainMetShare,0.47942437322611386
untrained,BraTS25-SSA,EPISURG,0.46690375467031087
untrained,BraTS25-SSA,ISLES22,0.41304905774811546
