source,target,accuracy,representation
NSK-GBM,OASIS-1,0.8633333333333333,untrained
NSK-GBM,OASIS-2,0.0,untrained
NSK-GBM,UMF-PD,0.24390243902439024,untrained
NSK-GBM,UPENN-GBM,0.39666666666666667,untrained
UPENN-GBM,3D-MR-MS,0.475,untrained
UPENN-GBM,BGSP,0.995850622406639,untrained
UPENN-GBM,BraTS25-MEN,0.25,untrained
UPENN-GBM,BraTS25-MET,0.25,untrained
UPENN-GBM,BraTS25-SSA,0.25,untrained
UPENN-GBM,BrainMetShare,0.0,untrained
UPENN-GBM,EPISURG,0.7166666666666667,untrained
UPENN-GBM,ISLES22,0.0,untrained
UPENN-GBM,IXI,0.895,untrained
UPENN-GBM,MS-60,0.2777777777777778,untrained
UPENN-GBM,MSLesSeg,0.33666666666666667,untrained
UPENN-GBM,NFBS,0.0,untrained
UPENN-GBM,NSK-GBM,0.23809523809523808,untrained
UPENN-GBM,OASIS-1,0.03666666666666667,untrained
UPENN-GBM,OASIS-2,0.292358803986711,untrained
UPENN-GBM,UMF-PD,0.07317073170731707,untrained
UPENN-GBM,UPENN-GBM,1.0,untrained
3D-MR-MS,3D-MR-MS,1.0,medical
3D-MR-MS,BGSP,1.0,medical
3D-MR-MS,BraTS25-MEN,0.25,medical
3D-MR-MS,BraTS25-MET,0.25,medical
3D-MR-MS,BraTS25-SSA,0.25,medical
3D-MR-MS,BrainMetShare,0.25,medical
3D-MR-MS,EPISURG,0.9966666666666667,medical
3D-MR-MS,ISLES22,0.0,medical
3D-MR-MS,IXI,0.5,medical
3D-MR-MS,MS-60,0.03333333333333333,medical
3D-MR-MS,MSLesSeg,0.0033333333333333335,medical
3D-MR-MS,NFBS,0.0,medical
3D-MR-MS,NSK-GBM,0.25,medical
3D-MR-MS,OASIS-1,0.6533333333333333,medical
3D-MR-MS,OASIS-2,1.0,medical
3D-MR-MS,UMF-PD,0.975609756097561,medical
3D-MR-MS,UPENN-GBM,0.25,medical
BraTS25-MEN,3D-MR-MS,0.20833333333333334,medical
BraTS25-MEN,BGSP,0.1950207468879668,medical
BraTS25-MEN,BraTS25-MEN,0.9133333333333333,medical
BraTS25-MEN,BraTS25-MET,0.6266666666666667,medical
BraTS25-MEN,BraTS25-SSA,0.5533333333333333,medical
BraTS25-MEN,BrainMetShare,0.2733333333333333,medical
BraTS25-MEN,EPISURG,0.01,medical
BraTS25-MEN,ISLES22,0.648,medical
BraTS25-MEN,IXI,0.54,medical
BraTS25-MEN,MS-60,0.32222222222222224,medical
BraTS25-MEN,MSLesSeg,0.5466666666666666,medical
BraTS25-MEN,NFBS,0.784,medical
BraTS25-MEN,NSK-GBM,0.19047619047619047,medical
BraTS25-MEN,OASIS-1,0.3,medical
BraTS25-MEN,OASIS-2,0.08637873754152824,medical
BraTS25-MEN,UMF-PD,0.1951219512195122,medical
BraTS25-MEN,UPENN-GBM,0.33,medical
BraTS25-MET,3D-MR-MS,0.25,medical
BraTS25-MET,BGSP,0.0,medical
BraTS25-MET,BraTS25-MEN,0.67,medical
BraTS25-MET,BraTS25-MET,0.9366666666666666,medical
BraTS25-MET,BraTS25-SSA,0.53,medical
BraTS25-MET,BrainMetShare,0.21333333333333335,medical
BraTS25-MET,EPISURG,0.0,medical
BraTS25-MET,ISLES22,0.788,medical
BraTS25-MET,IXI,0.5,medical
BraTS25-MET,MS-60,0.2833333333333333,medical
BraTS25-MET,MSLesSeg,0.38666666666666666,medical
BraTS25-MET,NFBS,0.696,medical
BraTS25-MET,NSK-GBM,0.25,medical
BraTS25-MET,OASIS-1,0.0,medical
BraTS25-MET,OASIS-2,0.0,medical
BraTS25-MET,UMF-PD,0.0,medical
BraTS25-MET,UPENN-GBM,0.25,medical
BraTS25-SSA,3D-MR-MS,0.175,medical
BraTS25-SSA,BGSP,1.0,medical
BraTS25-SSA,BraTS25-MEN,0.5233333333333333,medical
BraTS25-SSA,BraTS25-MET,0.4666666666666667,medical
BraTS25-SSA,BraTS25-SSA,0.9066666666666666,medical
BraTS25-SSA,BrainMetShare,0.12,medical
BraTS25-SSA,EPISURG,0.29,medical
BraTS25-SSA,ISLES22,0.82,medical
BraTS25-SSA,IXI,0.83,medical
BraTS25-SSA,MS-60,0.21666666666666667,medical
BraTS25-SSA,MSLesSeg,0.55,medical
BraTS25-SSA,NFBS,0.0,medical
BraTS25-SSA,NSK-GBM,0.5,medical
BraTS25-SSA,OASIS-1,0.92,medical
BraTS25-SSA,OASIS-2,0.5647840531561462,medical
BraTS25-SSA,UMF-PD,0.7682926829268293,medical
BraTS25-SSA,UPENN-GBM,0.36,medical
BrainMetShare,3D-MR-MS,0.016666666666666666,medical
BrainMetShare,BGSP,0.9087136929460581,medical
BrainMetShare,BraTS25-MEN,0.29333333333333333,medical
BrainMetShare,BraTS25-MET,0.2866666666666667,medical
BrainMetShare,BraTS25-SSA,0.28,medical
BrainMetShare,BrainMetShare,0.8833333333333333,medical
BrainMetShare,EPISURG,0.03,medical
BrainMetShare,ISLES22,0.24,medical
BrainMetShare,IXI,0.385,medical
BrainMetShare,MS-60,0.37777777777777777,medical
BrainMetShare,MSLesSeg,0.2866666666666667,medical
BrainMetShare,NFBS,0.984,medical
BrainMetShare,NSK-GBM,0.30357142857142855,medical
BrainMetShare,OASIS-1,0.9033333333333333,medical
BrainMetShare,OASIS-2,0.2956810631229236,medical
BrainMetShare,UMF-PD,0.2804878048780488,medical
BrainMetShare,UPENN-GBM,0.25333333333333335,medical
MS-60,3D-MR-MS,0.25,medical
MS-60,BGSP,0.0,medical
MS-60,BraTS25-MEN,0.33,medical
MS-60,BraTS25-MET,0.39,medical
MS-60,BraTS25-SSA,0.31333333333333335,medical
MS-60,BrainMetShare,0.24,medical
MS-60,EPISURG,0.0,medical
MS-60,ISLES22,0.908,medical
MS-60,IXI,0.5,medical
MS-60,MS-60,0.8111111111111111,medical
MS-60,MSLesSeg,0.5633333333333334,medical
MS-60,NFBS,0.0,medical
MS-60,NSK-GBM,0.25,medical
MS-60,OASIS-1,0.0,medical
MS-60,OASIS-2,0.0,medical
MS-60,UMF-PD,0.0,medical
MS-60,UPENN-GBM,0.25,medical
MSLesSeg,3D-MR-MS,0.25833333333333336,medical
MSLesSeg,BGSP,0.0,medical
MSLesSeg,BraTS25-MEN,0.37666666666666665,medical
MSLesSeg,BraTS25-MET,0.4066666666666667,medical
MSLesSeg,BraTS25-SSA,0.35,medical
MSLesSeg,BrainMetShare,0.14666666666666667,medical
MSLesSeg,EPISURG,0.0033333333333333335,medical
MSLesSeg,ISLES22,0.98,medical
MSLesSeg,IXI,0.5,medical
MSLesSeg,MS-60,0.2611111111111111,medical
MSLesSeg,MSLesSeg,0.9833333333333333,medical
MSLesSeg,NFBS,0.0,medical
MSLesSeg,NSK-GBM,0.25,medical
MSLesSeg,OASIS-1,0.0,medical
MSLesSeg,OASIS-2,0.0,medical
MSLesSeg,UMF-PD,0.0,medical
MSLesSeg,UPENN-GBM,0.25,medical
NSK-GBM,3D-MR-MS,0.21666666666666667,medical
NSK-GBM,BGSP,0.0,medical
NSK-GBM,BraTS25-MEN,0.25,medical
NSK-GBM,BraTS25-MET,0.25,medical
NSK-GBM,BraTS25-SSA,0.25666666666666665,medical
NSK-GBM,BrainMetShare,0.3,medical
NSK-GBM,EPISURG,0.05,medical
NSK-GBM,ISLES22,0.1,medical
NSK-GBM,IXI,0.495,medical
NSK-GBM,MS-60,0.28888888888888886,medical
NSK-GBM,MSLesSeg,0.016666666666666666,medical
NSK-GBM,NFBS,0.0,medical
NSK-GBM,NSK-GBM,1.0,medical
NSK-GBM,OASIS-1,0.8133333333333334,medical
NSK-GBM,OASIS-2,0.0,medical
NSK-GBM,UMF-PD,0.5975609756097561,medical
NSK-GBM,UPENN-GBM,0.31666666666666665,medical
UPENN-GBM,3D-MR-MS,0.5083333333333333,medical
UPENN-GBM,BGSP,0.950207468879668,medical
UPENN-GBM,BraTS25-MEN,0.25,medical
UPENN-GBM,BraTS25-MET,0.24333333333333335,medical
UPENN-GBM,BraTS25-SSA,0.25,medical
UPENN-GBM,BrainMetShare,0.5,medical
UPENN-GBM,EPISURG,0.75,medical
UPENN-GBM,ISLES22,0.0,medical
UPENN-GBM,IXI,0.755,medical
UPENN-GBM,MS-60,0.2388888888888889,medical
UPENN-GBM,MSLesSeg,0.2866666666666667,medical
UPENN-GBM,NFBS,1.0,medical
UPENN-GBM,NSK-GBM,0.10714285714285714,medical
UPENN-GBM,OASIS-1,0.07666666666666666,medical
UPENN-GBM,OASIS-2,0.21926910299003322,medical
UPENN-GBM,UMF-PD,0.4024390243902439,medical
UPENN-GBM,UPENN-GBM,1.0,medical
3D-MR-MS,3D-MR-MS,1.0,selfsup
3D-MR-MS,BGSP,1.0,selfsup
3D-MR-MS,BraTS25-MEN,0.4033333333333333,selfsup
3D-MR-MS,BraTS25-MET,0.38333333333333336,selfsup
3D-MR-MS,BraTS25-SSA,0.33,selfsup
3D-MR-MS,BrainMetShare,0.25,selfsup
3D-MR-MS,EPISURG,0.8033333333333333,selfsup
3D-MR-MS,ISLES22,0.008,selfsup
3D-MR-MS,IXI,0.475,selfsup
3D-MR-MS,MS-60,0.20555555555555555,selfsup
3D-MR-MS,MSLesSeg,0.12666666666666668,selfsup
3D-MR-MS,NFBS,0.0,selfsup
3D-MR-MS,NSK-GBM,0.25595238095238093,selfsup
3D-MR-MS,OASIS-1,0.6066666666666667,selfsup
3D-MR-MS,OASIS-2,0.9900332225913622,selfsup
3D-MR-MS,UMF-PD,0.9146341463414634,selfsup
3D-MR-MS,UPENN-GBM,0.26666666666666666,selfsup
BraTS25-MEN,3D-MR-MS,0.375,selfsup
BraTS25-MEN,BGSP,1.0,selfsup
BraTS25-MEN,BraTS25-MEN,1.0,selfsup
BraTS25-MEN,BraTS25-MET,0.84,selfsup
BraTS25-MEN,BraTS25-SSA,0.6366666666666667,selfsup
BraTS25-MEN,BrainMetShare,0.3433333333333333,selfsup
BraTS25-MEN,EPISURG,0.7666666666666667,selfsup
BraTS25-MEN,ISLES22,0.972,selfsup
BraTS25-MEN,IXI,0.5,selfsup
BraTS25-MEN,MS-60,0.3388888888888889,selfsup
BraTS25-MEN,MSLesSeg,0.6566666666666666,selfsup
BraTS25-MEN,NFBS,0.52,selfsup
BraTS25-MEN,NSK-GBM,0.2261904761904762,selfsup
BraTS25-MEN,OASIS-1,0.15333333333333332,selfsup
BraTS25-MEN,OASIS-2,0.9833887043189369,selfsup
BraTS25-MEN,UMF-PD,0.9146341463414634,selfsup
BraTS25-MEN,UPENN-GBM,0.36,selfsup
BraTS25-MET,3D-MR-MS,0.25,selfsup
BraTS25-MET,BGSP,1.0,selfsup
BraTS25-MET,BraTS25-MEN,0.75,selfsup
BraTS25-MET,BraTS25-MET,1.0,selfsup
BraTS25-MET,BraTS25-SSA,0.5333333333333333,selfsup
BraTS25-MET,BrainMetShare,0.31333333333333335,selfsup
BraTS25-MET,EPISURG,0.75,selfsup
BraTS25-MET,ISLES22,0.48,selfsup
BraTS25-MET,IXI,0.485,selfsup
BraTS25-MET,MS-60,0.32222222222222224,selfsup
BraTS25-MET,MSLesSeg,0.6233333333333333,selfsup
BraTS25-MET,NFBS,0.936,selfsup
BraTS25-MET,NSK-GBM,0.10714285714285714,selfsup
BraTS25-MET,OASIS-1,0.19666666666666666,selfsup
BraTS25-MET,OASIS-2,0.8272425249169435,selfsup
BraTS25-MET,UMF-PD,0.8658536585365854,selfsup
BraTS25-MET,UPENN-GBM,0.33666666666666667,selfsup
BraTS25-SSA,3D-MR-MS,0.49166666666666664,selfsup
BraTS25-SSA,BGSP,0.0,selfsup
BraTS25-SSA,BraTS25-MEN,0.4766666666666667,selfsup
BraTS25-SSA,BraTS25-MET,0.5366666666666666,selfsup
BraTS25-SSA,BraTS25-SSA,0.9866666666666667,selfsup
BraTS25-SSA,BrainMetShare,0.16666666666666666,selfsup
